10, 1238, ADC710, ADEREZO CESAR CLEMENTE 710GR, 75, 3
8, 924, ACL20, ACEITE LIBERTADOR 20L BIDON RELLENADO, 819, 1
5, 10511, LOCK, LOMO CERDO KOWI AHUMADO (REBANADO), 169, 2
5, 10511, HUC, PRECIO HC, 25.5, 22.9
5, 10511, HUC, PRECIO HC, 25.5, 23.2
8, 868, ADFO1, ADOBERA FUNDIR IMPERIAL ORO 1KG 109, 109, 6.75
8, 868, MAD1, MARGARINA DELICIA 1KG KILO, 49, 2
8, 868, MAMG, MAYONESA MCCORMICK A GRANEL (PRO), 82, 0.5
8, 868, CRIO, CREMA IMPERIAL ORO, 59, 0.5
19, 3371, AST, QUESO ASADERO TRADICIONAL 1KG, 103, 1
19, 3371, PIRC800, PINA REBANADA 800GR, 37, 1
19, 3371, CASV, CATSUP STAR VALUE 3.8KG, 73, 1
19, 3371, MASV, MAYONESA STAR VALUE 3.45KG AZUL, 184, 1
19, 3371, HUC, PRECIO HC, 29, 23.38
19, 3371, TOZFR1, TOCINO ESPECIAL ACOMODADO 129, 129, 1.5
8, 816, DAPETIT, DANONINO PETIT VASO, 3.6, 40
8, 816, EXMD90C, EXHIBIDOR DELICIA 90G (12PZ) EXHIBIDOR, 79, 3
8, 816, SAVMT, SALCHICHA VIVA 3KG MAYOREO, 110, 3
8, 816, JAR, JAMON AMERICANO RIOJA (PRO), 71, 12
8, 816, TOZFRA, TOCINO ESPECIAL ACOMODADO MAYOREO 127, 127, 1
12, 1511, YOK, YOGURT YOPLAIT 1KG, 29.5, 1
12, 1511, EM1, CATSUP EMBASA 1KG, 23, 1
12, 1511, LEEC360, LECHE EVAPORADA CLAVEL 360GR, 19.5, 3
19, 3296, MIP, MINI PIZZA IMPERIAL, 16.5, 4
19, 3296, PRYBL, PROMO YOPLAIT BEBER LIGHT (5PZ), 55, 1
19, 3296, CRE, CREMA EXTRA, 34, 1
19, 3296, JPA, JAMON PIERNA ANDALUCIA, 89, 2
16, 2663, CHI, CHORIZO IMPERIAL FREIR 48, 48, 1.04
